Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
1,1,1263.0,15300.0,1,1,30
2,1,2289.0,18342.0,1,1,60
3,0,2276.0,18274.0,1,1,30
4,1,1530.0,16393.5,1,2,35
5,0,2599.0,19799.0,1,9,42
6,1,1845.0,16943.0,1,1,45
7,1,602.5,13823.0,1,2,42
8,0,912.0,14354.0,1,1,30
9,1,1890.25,17110.25,1,4,52
10,1,1934.0,17173.0,1,1,25
11,0,2562.33333333,19568.3333333,1,3,41
12,0,954.0,14443.0,1,1,20
13,1,21.0,10713.0,1,1,30
14,0,934.0,14392.0,1,1,25
15,1,2391.8,18378.4,1,5,40
16,1,1202.0,15197.5,1,6,45
17,1,886.0,14314.0,1,1,50
18,1,1930.5,19480.0,1,2,50
19,0,2530.0,19381.0,1,1,25
20,0,55.0,11067.0,1,1,30
21,1,993.0,14548.0,1,1,40
22,0,1374.0,15209.0,1,2,45
23,0,1205.5,15283.5,1,2,25
24,0,552.0,13486.0,1,1,30
25,1,790.0,14095.0,1,1,50
26,1,1670.0,16447.0,1,1,35
27,0,1302.0,15427.0,1,1,40
28,0,2478.0,19169.0,1,1,30
29,1,2429.0,18993.0,1,1,30
30,1,2647.0,19901.0,1,1,45
31,1,342.5,12883.5,1,2,45
32,1,2340.5,19913.0,1,2,36
33,0,949.0,14430.0,1,1,30
34,1,2763.0,20820.0,1,1,45
35,1,326.0,12720.0,1,1,45
36,1,2537.0,19427.0,1,1,55
37,1,1475.0,16076.5,1,2,45
38,1,375.0,12930.0,1,1,50
39,1,1005.0,14583.0,1,1,40
40,1,522.5,9375.5,1,2,45
41,0,1999.5,17295.0,1,2,37
42,1,182.0,12130.0,1,1,35
43,1,782.0,14082.0,1,1,35
44,1,1399.0,15746.0,1,1,40
45,1,2077.0,17680.3333333,1,3,45
46,1,1325.0,15504.0,1,2,46
47,1,2697.0,20278.0,1,1,20
48,1,2049.0,17499.0,1,1,30
49,1,367.0,12888.0,1,1,35
50,1,641.0,13757.5,1,2,35
51,1,2597.5,20622.0,1,2,55
52,1,221.0,12342.0,1,1,40
53,1,3051.5,21495.5,1,2,50
54,0,1954.0,17225.0,1,1,45
55,1,21.0,10404.5,1,2,40
56,1,649.0,13740.0,1,1,40
57,1,1591.0,16008.0,1,2,37
58,0,1388.0,15715.0,1,1,55
59,0,1191.0,15115.0,1,1,40
60,0,2205.0,17994.0,1,1,25
61,0,2933.0,22693.0,1,1,45
62,1,908.0,14345.0,1,1,45
63,0,1755.2,16657.4,1,5,40
64,1,337.5,12809.0,1,2,45
65,0,758.0,14029.0,1,1,35
