Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge,Interaction1
15503,0,2098.0,18166.0,6,1,43,12588.0
17731,1,3112.0,19598.0,5,1,24,15560.0
4266,1,626.0,14649.0,13,1,25,8138.0
12468,0,2079.0,18331.0,8,1,46,16632.0
5730,0,1393.0,18232.0,12,1,29,16716.0
17791,0,1154.0,14434.0,5,1,28,5770.0
26288,0,705.0,14385.0,2,1,29,1410.0
4089,1,926.0,16077.0,13,1,30,12038.0
8253,0,1145.0,15935.0,10,1,42,11450.0
29895,0,1849.0,17224.0,1,1,35,1849.0
18627,0,3160.0,19787.0,5,1,30,15800.0
18104,1,5.0,8797.0,5,1,25,25.0
26204,1,1547.0,16348.0,2,1,36,3094.0
8875,0,2291.0,21953.0,10,1,28,22910.0
8696,0,1434.0,16905.0,10,1,37,14340.0
16990,1,81.0,11567.0,6,1,26,486.0
16009,0,2337.0,19179.0,6,1,27,14022.0
14254,0,1240.0,15483.0,7,1,23,8680.0
16744,1,1107.0,15545.0,6,1,31,6642.0
4359,0,283.0,13127.0,13,1,37,3679.0
19799,1,857.0,13892.0,5,1,25,4285.0
27138,1,2609.0,19037.0,2,1,40,5218.0
27060,0,2067.0,17483.0,2,1,47,4134.0
11905,1,1278.0,15797.0,8,1,29,10224.0
12717,0,524.0,13611.0,8,1,40,4192.0
17067,1,869.0,14922.0,6,1,53,5214.0
19246,0,1274.0,14709.0,5,1,40,6370.0
21414,0,2062.0,16490.0,4,1,25,8248.0
19228,1,1474.0,15181.0,5,1,36,7370.0
22406,0,897.0,14246.0,4,1,39,3588.0
20917,0,3281.0,19579.0,4,1,37,13124.0
26633,1,389.0,13487.0,2,1,37,778.0
28752,1,1544.0,16260.0,1,1,25,1544.0
4703,0,908.0,15888.0,12,1,43,10896.0
16570,1,670.0,14273.0,6,1,40,4020.0
2794,1,1241.0,15680.0,2,1,54,2482.0
20133,1,3561.0,20842.0,4,1,27,14244.0
16987,1,1869.0,17500.0,6,1,36,11214.0
8073,0,1923.0,19192.0,10,1,36,19230.0
22231,1,2094.0,16547.0,4,1,34,8376.0
22372,1,799.0,14039.0,4,1,37,3196.0
17609,1,649.0,13455.0,5,1,27,3245.0
17373,1,3097.0,20412.25,2,4,54,6194.0
27724,1,2743.0,19475.0,2,1,50,5486.0
17999,0,2172.0,16697.0,5,1,36,10860.0
10359,0,2169.0,20589.0,9,1,28,19521.0
26052,1,547.0,13947.0,2,1,33,1094.0
22245,0,373.0,12916.0,4,1,30,1492.0
13383,1,1644.0,16634.0,7,1,29,11508.0
5112,1,513.0,14296.0,12,1,30,6156.0
28457,0,3013.0,20335.0,2,1,64,6026.0
28620,0,974.0,14734.0,1,1,30,974.0
13118,1,2191.66666667,17787.3333333,4,3,48,8766.66666667
14415,0,2751.0,24172.0,7,1,45,19257.0
27565,1,616.0,14116.0,2,1,55,1232.0
5438,1,125.0,12301.0,12,1,27,1500.0
11782,1,2381.0,20001.0,8,1,30,19048.0
1186,1,1371.66666667,16057.1666667,1,6,68,1371.66666667
11979,1,1944.0,17813.0,8,1,59,15552.0
16449,1,596.0,14088.0,6,1,28,3576.0
22463,0,3278.0,19571.0,4,1,27,13112.0
7294,1,2.0,8383.0,10,1,30,20.0
11790,0,953.0,14811.0,8,1,28,7624.0
20584,1,688.0,13893.5,2,2,47,1376.0
20875,0,2972.0,18591.0,4,1,29,11888.0
17600,1,896.0,13962.0,5,1,48,4480.0
27897,1,2677.0,19262.0,2,1,21,5354.0
20537,0,3150.0,19140.0,4,1,34,12600.0
17851,1,651.5,13588.0,4,2,40,2606.0
17070,1,1815.0,16568.0,5,2,30,9075.0
26729,1,650.0,14230.0,2,1,36,1300.0
9865,0,1265.0,16593.0,9,1,32,11385.0
30038,0,2090.0,18114.0,1,1,45,2090.0
16818,1,752.0,14105.0,5,2,38,3760.0
14204,1,608.0,13716.0,7,1,26,4256.0
30278,1,499.0,13460.0,1,1,40,499.0
26466,1,220.0,12733.0,2,1,37,440.0
3652,1,451.5,13891.0,12,2,54,5418.0
14387,1,2094.0,17997.0,7,1,36,14658.0
21519,1,337.0,12739.0,4,1,43,1348.0
13783,1,2682.0,22184.0,7,1,67,18774.0
7866,1,1037.0,15540.0,10,1,43,10370.0
10702,1,388.0,13710.0,9,1,34,3492.0
3801,1,1151.0,17525.0,13,1,28,14963.0
3194,1,325.0,13293.0,13,1,31,4225.0
28690,1,44.0,10959.0,1,1,30,44.0
5091,1,676.0,14816.0,11,2,49,7436.0
3151,0,1402.0,21435.0,13,1,29,18226.0
18539,1,329.0,12452.0,5,1,32,1645.0
3734,1,203.0,12645.0,13,1,31,2639.0
22538,1,929.0,14309.0,4,1,25,3716.0
16651,1,2396.0,18745.3333333,1,3,50,2396.0
13759,0,2226.0,18635.0,7,1,40,15582.0
30160,1,1274.0,15597.0,1,1,45,1274.0
14268,1,2427.0,19707.0,7,1,34,16989.0
15497,0,2149.0,18347.0,6,1,32,12894.0
3990,1,1614.33333333,16719.8333333,1,12,42,1614.33333333
12683,0,1847.0,17506.0,8,1,47,14776.0
6885,1,100.0,11767.0,11,1,27,1100.0
9831,1,542.0,14242.0,9,1,31,4878.0
24271,1,746.0,14476.0,2,1,35,1492.0
30210,0,1594.0,16390.0,1,1,25,1594.0
19278,0,1356.0,14932.0,5,1,28,6780.0
4877,1,1112.83333333,15578.6666667,4,6,50,4451.33333333
9720,0,1317.0,16772.0,9,1,28,11853.0
12116,0,1160.5,14935.5,5,2,33,5802.5
14305,1,1662.0,16662.0,7,1,28,11634.0
14200,1,2330.0,19195.0,7,1,23,16310.0
6096,0,513.0,14124.0,11,1,34,5643.0
18408,0,3193.0,19978.0,5,1,31,15965.0
4275,1,1183.0,17710.0,13,1,35,15379.0
22163,1,1017.0,14475.0,4,1,28,4068.0
