Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
30398,0,2729.0,24296.0,1,1,30
2458,0,2825.5,21053.0,1,2,68
5928,0,1228.0,17142.0,11,1,45
10885,1,866.0,15403.0,9,1,63
4646,0,1608.0,20275.0,12,1,35
4598,1,1573.0,19845.0,12,1,66
14843,1,1456.0,16107.0,7,1,53
10907,1,1232.0,16503.0,9,1,34
10065,1,150.0,12531.0,9,1,53
3096,1,444.0,13874.0,13,1,38
13116,0,2121.5,18341.0,7,2,25
4663,1,624.0,14672.0,12,1,25
21306,1,2662.0,17845.0,4,1,49
13599,1,1682.0,16708.0,7,1,46
19511,0,3273.0,20526.0,5,1,34
19781,1,636.0,13416.0,5,1,31
16988,1,2701.0,21486.0,6,1,23
6689,1,137.333333333,12097.6666667,9,3,40
4814,1,364.0,13759.0,12,1,34
9882,1,1342.0,16375.0,6,2,47
8536,0,1914.0,19134.0,10,1,30
15852,1,1729.0,17102.0,6,1,38
10361,1,1344.0,16878.0,9,1,23
12398,1,290.5,12697.5,7,2,61
13502,1,1360.0,15777.0,7,1,44
12092,1,10.0,9323.0,8,1,28
16261,0,1560.5,15968.5,5,2,34
10320,0,880.0,15442.0,9,1,37
19908,0,1467.0,15167.0,5,1,30
9442,1,1394.0,16999.0,9,1,39
6220,0,1403.0,17221.0,10,2,27
18935,0,201.0,11903.0,5,1,33
27115,0,684.0,14293.0,2,1,21
5986,0,1049.0,16316.0,11,1,39
14998,0,1220.0,15438.0,7,1,36
21713,0,1160.0,14808.0,4,1,39
27745,1,1036.0,15200.0,2,1,28
8917,1,1031.0,15526.0,10,1,43
16113,1,1501.0,16505.0,6,1,40
27445,1,3226.0,21382.0,2,1,45
19010,0,1710.0,15694.0,5,1,28
6999,0,1033.0,16237.0,11,1,28
10536,1,1387.0,16979.0,9,1,36
10155,1,148.0,12527.0,9,1,44
15099,1,1885.0,17265.0,7,1,38
20866,1,3087.0,18967.0,4,1,42
13559,0,3017.0,21596.0,5,2,61
8724,1,478.0,13621.0,10,1,42
27511,1,928.0,14929.0,2,1,53
20985,1,1951.0,16268.0,4,1,29
14395,1,122.0,11716.0,7,1,34
3138,1,933.0,16091.0,13,1,30
7470,0,1676.0,17564.0,6,2,43
6386,1,819.0,15335.0,11,1,51
15416,0,1689.0,16997.0,6,1,28
5475,1,1547.0,19606.0,12,1,32
9112,0,2322.0,22412.0,10,1,29
29356,0,888.0,14486.0,1,1,45
30018,1,2076.0,18057.0,1,1,35
21146,0,2219.0,16833.0,4,1,31
24891,1,2019.0,17368.0,2,1,31
18284,1,78.0,11101.0,5,1,35
5630,1,1054.0,16572.0,12,1,34
19194,1,2884.0,18575.0,5,1,50
7717,1,181.0,12328.0,10,1,49
29553,1,2333.0,19512.0,1,1,35
15210,0,1741.0,16859.0,7,1,28
18402,1,2374.0,17124.0,5,1,52
8679,1,1730.0,18017.0,10,1,55
4002,1,1025.0,16674.0,13,1,50
12773,1,1405.5,16344.5,6,2,42
5287,1,1469.0,18841.0,12,1,50
27820,1,283.0,13022.0,2,1,38
21296,1,1342.0,15152.0,4,1,32
14114,0,1015.0,14919.0,7,1,46
1829,1,1194.0,15149.5,4,2,54
5088,1,218.0,13083.0,12,1,22
13153,1,2429.0,20476.0,8,1,37
21783,0,3782.0,22343.0,4,1,70
14066,1,1850.0,17188.0,7,1,33
15009,1,594.0,13677.0,7,1,38
17673,1,1982.5,16288.5,4,2,49
19353,0,2659.0,17915.0,5,1,45
12167,1,2040.5,17973.5,7,2,24
19695,0,950.0,14052.0,5,1,26
8737,0,1342.0,16602.0,10,1,40
22428,1,3428.0,20186.0,4,1,51
28711,1,2467.0,20401.0,1,1,40
10806,1,2479.0,24275.0,9,1,52
9474,1,1771.0,18310.0,9,1,40
22541,1,3688.0,21645.0,4,1,30
27248,0,180.0,12543.0,2,1,48
10182,1,1029.0,15899.0,9,1,40
17300,0,1543.0,16634.0,6,1,36
27810,0,907.0,14883.0,2,1,41
19744,0,1163.0,14453.0,5,1,18
6931,1,1306.0,16497.0,8,2,49
3898,1,529.0,14246.0,13,1,31
28433,1,3026.0,20390.0,2,1,40
15727,1,1224.66666667,15118.3333333,4,3,38
22756,1,2719.0,17987.0,4,1,50
5460,1,1325.0,17757.0,12,1,33
4269,0,1385.0,20743.0,13,1,51
21012,1,596.0,13627.0,4,1,28
18660,1,1558.0,15377.5,4,2,46
20540,0,83.0,11330.0,4,1,29
5080,1,1547.0,19606.0,12,1,60
13066,0,2247.0,19246.0,8,1,29
12992,1,481.0,13407.3333333,5,3,34
16573,0,2065.0,18047.0,6,1,27
15044,1,1721.0,16803.0,7,1,49
11331,1,622.0,13853.0,8,1,45
16338,1,1871.0,17502.0,6,1,30
29894,0,2679.0,23073.0,1,1,35
18105,0,2832.0,18412.0,5,1,32
9180,1,1196.0,16097.0,10,1,40
6468,0,1533.0,19302.0,11,1,33
9740,0,819.666666667,14311.0,4,3,40
6772,1,513.0,14124.0,11,1,29
28430,1,1133.0,15438.0,2,1,39
28370,0,2152.0,17690.0,2,1,24
8090,1,2071.0,20093.0,10,1,42
8142,1,82.0,11408.0,10,1,28
3855,1,524.5,14228.0,12,2,49
21639,1,460.0,13195.0,4,1,48
10684,0,1219.0,16463.0,9,1,53
23150,1,789.0,14262.0,1,1,25
23903,1,2118.5,17813.0,1,2,42
16863,1,499.0,13838.0,6,1,28
20746,0,1713.0,15832.0,4,1,26
8526,1,619.0,14119.0,10,1,40
20604,1,3009.0,18691.0,4,1,34
16212,1,2270.0,18916.0,6,1,53
5996,1,590.5,14338.0,2,2,42
20847,1,955.0,14357.0,4,1,31
12900,1,62.0,11074.0,8,1,28
12834,0,1827.0,17452.0,8,1,54
26346,0,2639.0,19166.0,2,1,28
22729,1,1132.0,14749.0,4,1,51
27171,1,1810.0,16890.0,2,1,31
6299,1,1748.0,25297.0,11,1,60
21937,1,1655.0,15708.0,4,1,39
29223,0,965.0,14700.0,1,1,30
6996,0,240.0,12901.0,11,1,28
21319,1,1993.0,16354.0,4,1,23
11559,1,844.0,14455.0,8,1,44
26382,1,726.0,14421.0,2,1,27
13764,0,1119.0,15169.0,7,1,40
26053,1,2138.0,17653.0,2,1,34
7662,0,1813.66666667,18034.0,8,3,31
18798,1,3319.5,20219.0,4,2,58
26879,1,2248.0,17927.0,2,1,40
4314,1,298.0,13204.0,13,1,35
22454,1,3265.0,19542.0,4,1,36
2185,1,1294.0,16020.0,6,1,42
20448,1,1750.0,15907.0,4,1,31
6267,1,1529.0,19234.0,11,1,55
8101,0,1237.0,16233.0,10,1,28
14947,1,1848.0,17181.0,7,1,38
3519,0,1369.5,18747.0,12,2,42
20837,0,2468.0,17395.0,4,1,33
28130,1,3028.0,20392.0,2,1,20
8409,0,2450.0,25799.0,10,1,36
28967,0,2600.0,21928.0,1,1,35
10173,1,33.0,10901.0,7,2,28
3174,1,1234.0,17611.0,12,2,49
