Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
15503,0,2098.0,18166.0,6,1,43
17731,1,3112.0,19598.0,5,1,24
4266,1,626.0,14649.0,13,1,25
12468,0,2079.0,18331.0,8,1,46
5730,0,1393.0,18232.0,12,1,29
17791,0,1154.0,14434.0,5,1,28
26288,0,705.0,14385.0,2,1,29
4089,1,926.0,16077.0,13,1,30
8253,0,1145.0,15935.0,10,1,42
29895,0,1849.0,17224.0,1,1,35
18627,0,3160.0,19787.0,5,1,30
18104,1,5.0,8797.0,5,1,25
26204,1,1547.0,16348.0,2,1,36
8875,0,2291.0,21953.0,10,1,28
8696,0,1434.0,16905.0,10,1,37
16990,1,81.0,11567.0,6,1,26
16009,0,2337.0,19179.0,6,1,27
14254,0,1240.0,15483.0,7,1,23
16744,1,1107.0,15545.0,6,1,31
4359,0,283.0,13127.0,13,1,37
19799,1,857.0,13892.0,5,1,25
27138,1,2609.0,19037.0,2,1,40
27060,0,2067.0,17483.0,2,1,47
11905,1,1278.0,15797.0,8,1,29
12717,0,524.0,13611.0,8,1,40
17067,1,869.0,14922.0,6,1,53
19246,0,1274.0,14709.0,5,1,40
21414,0,2062.0,16490.0,4,1,25
19228,1,1474.0,15181.0,5,1,36
22406,0,897.0,14246.0,4,1,39
20917,0,3281.0,19579.0,4,1,37
26633,1,389.0,13487.0,2,1,37
28752,1,1544.0,16260.0,1,1,25
4703,0,908.0,15888.0,12,1,43
16570,1,670.0,14273.0,6,1,40
2794,1,1241.0,15680.0,2,1,54
20133,1,3561.0,20842.0,4,1,27
16987,1,1869.0,17500.0,6,1,36
8073,0,1923.0,19192.0,10,1,36
22231,1,2094.0,16547.0,4,1,34
22372,1,799.0,14039.0,4,1,37
17609,1,649.0,13455.0,5,1,27
17373,1,3097.0,20412.25,2,4,54
27724,1,2743.0,19475.0,2,1,50
17999,0,2172.0,16697.0,5,1,36
10359,0,2169.0,20589.0,9,1,28
26052,1,547.0,13947.0,2,1,33
22245,0,373.0,12916.0,4,1,30
13383,1,1644.0,16634.0,7,1,29
5112,1,513.0,14296.0,12,1,30
28457,0,3013.0,20335.0,2,1,64
28620,0,974.0,14734.0,1,1,30
13118,1,2191.66666667,17787.3333333,4,3,48
14415,0,2751.0,24172.0,7,1,45
27565,1,616.0,14116.0,2,1,55
5438,1,125.0,12301.0,12,1,27
11782,1,2381.0,20001.0,8,1,30
1186,1,1371.66666667,16057.1666667,1,6,68
11979,1,1944.0,17813.0,8,1,59
16449,1,596.0,14088.0,6,1,28
22463,0,3278.0,19571.0,4,1,27
7294,1,2.0,8383.0,10,1,30
11790,0,953.0,14811.0,8,1,28
20584,1,688.0,13893.5,2,2,47
20875,0,2972.0,18591.0,4,1,29
17600,1,896.0,13962.0,5,1,48
27897,1,2677.0,19262.0,2,1,21
20537,0,3150.0,19140.0,4,1,34
17851,1,651.5,13588.0,4,2,40
17070,1,1815.0,16568.0,5,2,30
26729,1,650.0,14230.0,2,1,36
9865,0,1265.0,16593.0,9,1,32
30038,0,2090.0,18114.0,1,1,45
16818,1,752.0,14105.0,5,2,38
14204,1,608.0,13716.0,7,1,26
30278,1,499.0,13460.0,1,1,40
26466,1,220.0,12733.0,2,1,37
3652,1,451.5,13891.0,12,2,54
14387,1,2094.0,17997.0,7,1,36
21519,1,337.0,12739.0,4,1,43
13783,1,2682.0,22184.0,7,1,67
7866,1,1037.0,15540.0,10,1,43
10702,1,388.0,13710.0,9,1,34
