Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge,Interaction1
29466,1,508.0,13492.0,1,1,45,508.0
16223,1,2786.0,22740.0,6,1,48,16716.0
28060,1,1548.0,16350.0,2,1,36,3096.0
26740,1,1132.0,15437.0,2,1,45,2264.0
4373,1,1409.0,22076.0,13,1,69,18317.0
21362,0,3513.0,20601.0,4,1,34,14052.0
28968,1,238.0,12645.0,1,1,25,238.0
14069,0,1659.0,16657.0,7,1,16,11613.0
12362,0,1655.0,16931.0,8,1,33,13240.0
22543,1,2789.0,18147.0,4,1,39,11156.0
19234,0,3175.0,19853.0,5,1,28,15875.0
13750,1,1721.0,16803.0,7,1,31,12047.0
14970,0,2147.0,18222.0,7,1,26,15029.0
5937,1,1605.0,20266.0,11,1,29,17655.0
7489,1,1725.0,17615.5,8,2,50,13800.0
26305,0,1371.0,16021.0,2,1,33,2742.0
3347,0,1206.0,17919.0,13,1,50,15678.0
8743,1,1471.0,17046.0,10,1,32,14710.0
17417,1,2758.5,19536.0,5,2,46,13792.5
29741,0,2686.0,23213.0,1,1,45,2686.0
6924,0,1650.0,21006.0,11,1,28,18150.0
18972,0,920.0,14011.0,5,1,27,4600.0
13135,1,1674.0,16984.0,8,1,33,13392.0
26589,1,925.0,14924.0,2,1,62,1850.0
13592,1,1559.0,16393.0,7,1,43,10913.0
14799,1,1856.0,17203.0,7,1,51,12992.0
18375,1,2814.0,18368.0,5,1,36,14070.0
5795,1,461.0,14123.0,12,1,26,5532.0
4286,1,220.0,12429.5,9,2,43,1980.0
28465,1,107.0,11993.0,2,1,29,214.0
20494,1,3450.0,20300.0,4,1,41,13800.0
13282,1,1129.0,15195.0,7,1,50,7903.0
4503,0,1168.0,16314.0,9,3,29,10512.0
6579,1,39.0,10898.0,11,1,36,429.0
4506,1,580.0,14476.0,12,1,26,6960.0
6986,1,1083.0,16441.0,11,1,33,11913.0
19727,1,3172.66666667,20045.3333333,2,3,31,6345.33333333
28716,1,818.0,14333.0,1,1,20,818.0
13933,1,2659.0,21824.0,7,1,42,18613.0
28313,0,1052.0,15252.0,2,1,31,2104.0
6504,1,700.0,14839.0,11,1,28,7700.0
27877,0,815.0,14656.0,2,1,30,1630.0
14905,1,615.0,13726.0,7,1,44,4305.0
3173,0,1346.0,20049.0,13,1,31,17498.0
9088,0,192.5,12525.5,9,2,37,1732.5
4463,1,1027.0,16423.0,12,1,25,12324.0
21532,0,3674.0,21510.0,4,1,60,14696.0
18639,0,2717.0,18113.0,5,1,43,13585.0
11053,1,1324.0,16794.0,9,1,55,11916.0
27544,0,2560.0,18868.0,2,1,31,5120.0
26742,1,2054.0,17458.0,2,1,46,4108.0
17218,0,2138.0,18299.0,6,1,28,12828.0
10061,0,1300.0,16704.0,9,1,35,11700.0
19310,1,704.0,13573.0,5,1,45,3520.0
10017,0,480.0,14033.0,9,1,24,4320.0
4335,1,1042.0,16776.0,13,1,43,13546.0
16771,0,359.0,13374.0,6,1,34,2154.0
4640,1,480.0,14204.0,12,1,39,5760.0
6378,1,1339.0,17717.0,11,1,42,14729.0
6685,1,814.0,15319.0,11,1,37,8954.0
27935,1,2486.0,18603.0,2,1,52,4972.0
14494,0,2152.0,18231.0,7,1,33,15064.0
13096,1,464.0,13403.0,8,1,34,3712.0
7059,1,553.0,14252.0,11,1,28,6083.0
5313,1,328.0,13608.0,12,1,29,3936.0
10814,1,231.0,13062.0,9,1,37,2079.0
20567,0,2705.0,17942.0,4,1,29,10820.0
10307,0,1874.0,18879.0,9,1,46,16866.0
20701,0,3438.0,20242.0,4,1,32,13752.0
22892,1,442.0,13161.0,4,1,44,1768.0
28311,1,617.0,14122.0,2,1,38,1234.0
14014,1,1753.0,16892.0,7,1,28,12271.0
29339,1,1089.0,15086.0,1,1,55,1089.0
10203,0,2394.0,23059.0,9,1,25,21546.0
20540,0,83.0,11330.0,4,1,29,332.0
20396,1,1315.0,15107.0,4,1,37,5260.0
6829,0,384.0,13589.0,11,1,24,4224.0
20139,1,495.0,13304.0,4,1,33,1980.0
5020,1,1730.0,21984.0,12,1,52,20760.0
19818,1,1841.0,15964.0,5,1,24,9205.0
29250,0,607.0,13814.0,1,1,35,607.0
8082,0,2384.5,21503.5,8,2,35,19076.0
28718,1,678.0,13988.0,1,1,40,678.0
12199,1,1304.0,15856.0,8,1,40,10432.0
20642,1,3906.0,24250.0,4,1,59,15624.0
14836,1,1873.66666667,16342.3333333,4,3,41,7494.66666667
7695,0,1264.0,16334.0,10,1,27,12640.0
3891,0,188.5,12481.0,11,2,38,2073.5
27792,0,2804.0,19666.0,2,1,38,5608.0
17306,1,2076.0,18095.0,6,1,42,12456.0
16513,1,1090.0,15511.0,6,1,49,6540.0
5449,1,134.5,12134.0,6,2,41,807.0
22610,1,2029.0,16427.0,4,1,29,8116.0
8384,0,1039.0,15548.0,10,1,33,10390.0
15858,1,242.0,12812.0,6,1,40,1452.0
22003,0,3060.0,18896.0,4,1,33,12240.0
12530,1,999.0,14980.0,8,1,36,7992.0
5317,1,675.0,14937.0,12,1,41,8100.0
16926,0,2587.0,20492.0,6,1,38,15522.0
18857,1,497.0,13010.0,5,1,33,2485.0
7603,0,1106.0,15809.0,10,1,37,11060.0
30349,0,1010.0,14853.0,1,1,25,1010.0
8919,0,2112.0,20342.0,10,1,26,21120.0
